"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\App.css", "CSS", 0, 0, -29, 0, -5, -34
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\App.js", "JavaScript", -126, 0, 0, -39, -7, -172
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\App.test.js", "JavaScript", -7, 0, 0, 0, -2, -9
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\api.js", "JavaScript", -24, 0, 0, 0, -4, -28
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\camera.svg", "XML", 0, -2, 0, 0, 0, -2
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components-old\draw.css", "CSS", 0, 0, 0, 0, -1, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components-old\draw.js", "JavaScript", -8, 0, 0, 0, -2, -10
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components-old\share.css", "CSS", 0, 0, -4, 0, 0, -4
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components-old\shot.css", "CSS", 0, 0, -21, 0, -2, -23
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components-old\shot.js", "JavaScript", -71, 0, 0, -31, -8, -110
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\adjustPanel.js", "JavaScript", -151, 0, 0, -7, -22, -180
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\adjustPanelVideo.js", "JavaScript", -193, 0, 0, -9, -29, -231
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.css", "CSS", 0, 0, -45, 0, -5, -50
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.js", "JavaScript", -1225, 0, 0, -34, -133, -1392
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\collector.css", "CSS", 0, 0, -20, 0, -2, -22
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\collector.js", "JavaScript", -241, 0, 0, -12, -27, -280
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\maskCircle.css", "CSS", 0, 0, -17, 0, -2, -19
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\maskCircle.js", "JavaScript", -215, 0, 0, -7, -24, -246
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\materialPanel.css", "CSS", 0, 0, -63, 0, -9, -72
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\materialPanel.js", "JavaScript", -242, 0, 0, -11, -14, -267
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\share.css", "CSS", 0, 0, -6, 0, 0, -6
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\tagCircle.js", "JavaScript", -143, 0, 0, -7, -17, -167
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\index.css", "CSS", 0, 0, -12, 0, -2, -14
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\index.js", "JavaScript", -14, 0, 0, -5, -3, -22
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\logo.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\reportWebVitals.js", "JavaScript", -12, 0, 0, 0, -2, -14
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\setupTests.js", "JavaScript", -1, 0, 0, -4, -1, -6
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\store\GlobalStore.js", "JavaScript", -92, 0, 0, 0, -5, -97
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\store\index.js", "JavaScript", -7, 0, 0, 0, -1, -8
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\add_black.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\audio_black.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\board.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\board_black.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\cha.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\collector.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\collector_black.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\delete.svg", "XML", 0, -9, 0, 0, -1, -10
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\eraser.svg", "XML", 0, -24, 0, 0, -1, -25
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\gou.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\cloth.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\cloud.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\love.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\qq.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\material.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\material_black.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\pencil.svg", "XML", 0, -19, 0, 0, -1, -20
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\plant_black.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\recorder.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\shape.svg", "XML", 0, -19, 0, 0, -1, -20
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\stop.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\texture_black.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\video_black.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\App.css", "CSS", 0, 0, 29, 0, 5, 34
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\App.js", "JavaScript", 134, 0, 0, 39, 9, 182
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\api.js", "JavaScript", 22, 0, 0, 3, 5, 30
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\camera.svg", "XML", 0, 2, 0, 0, 0, 2
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components-old\share.css", "CSS", 0, 0, 4, 0, 0, 4
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components-old\shot.css", "CSS", 0, 0, 21, 0, 2, 23
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components-old\shot.js", "JavaScript", 71, 0, 0, 31, 8, 110
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\adjustPanel.js", "JavaScript", 151, 0, 0, 7, 22, 180
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\adjustPanelVideo.js", "JavaScript", 193, 0, 0, 9, 29, 231
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\board.css", "CSS", 0, 0, 45, 0, 5, 50
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\board.js", "JavaScript", 1225, 0, 0, 34, 133, 1392
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\collector.css", "CSS", 0, 0, 20, 0, 2, 22
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\collector.js", "JavaScript", 426, 0, 0, 30, 42, 498
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\maskCircle.css", "CSS", 0, 0, 17, 0, 2, 19
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\maskCircle.js", "JavaScript", 215, 0, 0, 7, 24, 246
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\materialPanel.css", "CSS", 0, 0, 63, 0, 9, 72
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\materialPanel.js", "JavaScript", 242, 0, 0, 3, 14, 259
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\share.css", "CSS", 0, 0, 6, 0, 0, 6
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\tagCircle.js", "JavaScript", 143, 0, 0, 7, 17, 167
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\index.css", "CSS", 0, 0, 12, 0, 2, 14
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\index.js", "JavaScript", 14, 0, 0, 5, 3, 22
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\logo.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\store\GlobalStore.js", "JavaScript", 114, 0, 0, 0, 7, 121
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\store\index.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\add_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\audio_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\board.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\board_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\cha.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\collector.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\collector_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\delete.svg", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\eraser.svg", "XML", 0, 24, 0, 0, 1, 25
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\gou.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\cloth.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\cloud.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\love.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\qq.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\material.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\material_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\pencil.svg", "XML", 0, 19, 0, 0, 1, 20
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\plant_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\recorder.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\shape.svg", "XML", 0, 19, 0, 0, 1, 20
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\stop.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\texture_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\video_black.svg", "XML", 0, 1, 0, 0, 0, 1
"Total", "-", 205, 0, 0, 13, 17, 235